county,county_type,region_group,metro_area,priority,party_lean,historical_total_votes,elections_covered,runoff_retention_baseline,source_url,notes
Nacogdoches,rural,East Texas,regional,2,R+39,4570743,46,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Navarro,rural,Central/North Texas,regional,3,R+52,3484274,49,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Newton,rural,East Texas,regional,2,R+66,1096923,47,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Nolan,rural,Central/North Texas,regional,3,R+66,998116,46,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Nueces,border,Border/South Texas,regional,2,R+9,24591283,49,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Ochiltree,rural,West Texas,regional,2,R+83,657034,47,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Oldham,rural,West Texas,regional,2,R+84,195418,47,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Orange,rural,East Texas,regional,2,R+67,6305421,48,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Palo Pinto,rural,Central/North Texas,regional,3,R+71,2224188,49,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Panola,rural,East Texas,regional,2,R+67,2033404,46,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Parker,suburban,Suburban,Dallas-Fort Worth,1,R+69,13673976,51,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Parmer,rural,West Texas,regional,2,R+75,535998,47,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Pecos,border,Border/South Texas,regional,2,R+41,947322,50,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Polk,rural,East Texas,regional,2,R+60,3970744,48,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Potter,rural,West Texas,regional,2,R+46,5965239,49,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Presidio,border,Border/South Texas,regional,2,D+34,437935,48,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Rains,rural,Central/North Texas,regional,3,R+74,1002827,46,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Randall,rural,West Texas,regional,2,R+63,11349410,47,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Reagan,rural,West Texas,regional,2,R+70,204341,48,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Real,rural,Central/North Texas,regional,3,R+70,426247,50,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Red River,rural,East Texas,regional,2,R+62,993713,47,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Reeves,border,Border/South Texas,regional,2,R+25,648271,50,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Refugio,border,Border/South Texas,regional,2,R+39,665434,48,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Roberts,rural,West Texas,regional,2,R+93,131050,47,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Robertson,rural,Central/North Texas,regional,3,R+51,1471746,48,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Rockwall,suburban,Suburban,Dallas-Fort Worth,1,R+44,10207409,48,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Runnels,rural,Central/North Texas,regional,3,R+78,849060,48,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Rusk,rural,East Texas,regional,2,R+60,3865696,46,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Sabine,rural,East Texas,regional,2,R+79,1047177,46,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
San Augustine,rural,East Texas,regional,2,R+56,758892,46,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
San Jacinto,rural,East Texas,regional,2,R+65,2259116,48,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
San Patricio,border,Border/South Texas,regional,2,R+34,4523262,49,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
San Saba,rural,Central/North Texas,regional,3,R+79,577998,50,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Schleicher,rural,Central/North Texas,regional,3,R+64,252211,50,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Scurry,rural,West Texas,regional,2,R+78,1068585,46,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Shackelford,rural,Central/North Texas,regional,3,R+87,319321,47,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Shelby,rural,East Texas,regional,2,R+65,1905665,46,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Sherman,rural,West Texas,regional,2,R+85,219434,47,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Smith,rural,East Texas,regional,2,R+46,17709289,47,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Somervell,rural,Central/North Texas,regional,3,R+75,917267,48,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Starr,border,Border/South Texas,regional,2,D+18,2553081,47,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Stephens,rural,Central/North Texas,regional,3,R+83,753690,47,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Sterling,rural,Central/North Texas,regional,3,R+86,139580,48,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Stonewall,rural,Central/North Texas,regional,3,R+73,136777,48,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Sutton,rural,Central/North Texas,regional,3,R+66,349288,48,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Swisher,rural,West Texas,regional,2,R+68,442024,47,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Tarrant,urban,Major Metro,Dallas-Fort Worth,1,R+8,197982868,55,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Taylor,rural,Central/North Texas,regional,3,R+59,10005515,47,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Terrell,border,Border/South Texas,regional,2,R+51,115934,50,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Terry,rural,West Texas,regional,2,R+70,734247,47,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Throckmorton,rural,Central/North Texas,regional,3,R+86,171594,48,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Titus,rural,East Texas,regional,2,R+54,1889256,46,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Tom Green,rural,Central/North Texas,regional,3,R+50,8812360,48,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Travis,urban,Major Metro,Austin,1,D+42,130326457,52,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Trinity,rural,East Texas,regional,2,R+67,1392148,47,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Tyler,rural,East Texas,regional,2,R+74,1791239,47,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Upshur,rural,East Texas,regional,2,R+72,3356432,46,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Upton,rural,West Texas,regional,2,R+75,249203,48,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Uvalde,border,Border/South Texas,regional,2,R+27,2037047,52,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Val Verde,border,Border/South Texas,regional,2,R+18,2762105,50,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Van Zandt,rural,Central/North Texas,regional,3,R+75,4477229,50,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Victoria,rural,Central/North Texas,regional,3,R+45,6894174,50,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Walker,rural,Central/North Texas,regional,3,R+41,4117048,47,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Waller,suburban,Suburban,Houston,1,R+31,4772582,48,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Ward,rural,West Texas,regional,2,R+63,724132,48,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Washington,rural,Central/North Texas,regional,3,R+57,4417423,51,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Webb,border,Border/South Texas,regional,2,D+22,13691332,49,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Wharton,rural,Central/North Texas,regional,3,R+51,3309795,49,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Wheeler,rural,West Texas,regional,2,R+85,491307,49,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Wichita,rural,Central/North Texas,regional,3,R+47,8519090,51,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Wilbarger,rural,Central/North Texas,regional,3,R+62,829933,49,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Willacy,border,Border/South Texas,regional,2,D+12,1087283,48,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Williamson,suburban,Suburban,Austin,1,R+3,43903263,51,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Wilson,suburban,Suburban,San Antonio,1,R+52,4262649,47,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Winkler,rural,West Texas,regional,2,R+69,377909,49,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Wise,suburban,Suburban,Dallas-Fort Worth,1,R+72,5513822,50,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Wood,rural,East Texas,regional,2,R+72,4316759,47,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Yoakum,rural,West Texas,regional,2,R+76,514617,47,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Young,rural,Central/North Texas,regional,3,R+80,1678037,53,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Zapata,border,Border/South Texas,regional,2,D+10,872041,47,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
Zavala,border,Border/South Texas,regional,2,D+29,808045,51,,https://txelectionresults.com/counties,County directory row from TXElectionResults; county_type and region_group are project heuristics for runoff analysis.
